25.40;25.95;95.47;74.05;95.47
25.50;29.75;98.12;70.25;98.12
25.60;33.55;93.80;66.45;93.80
25.70;37.35;94.69;62.65;94.69
25.80;41.15;96.20;58.85;96.20
25.90;44.95;95.15;55.05;95.15
26.00;41.55;99.29;58.45;99.29
26.10;38.15;93.57;61.85;93.57
26.20;34.75;94.31;65.25;94.31
26.30;31.35;94.71;68.65;94.71
26.40;27.95;95.18;72.05;95.18
26.50;31.15;97.23;68.85;97.23
26.60;34.35;92.68;65.65;92.68
26.70;37.55;96.02;62.45;96.02
26.80;40.75;96.04;59.25;96.04
26.90;43.95;96.50;56.05;96.50
27.00;47.95;98.93;52.05;98.93
27.10;51.95;92.32;48.05;92.32
27.20;55.95;92.72;44.05;92.72
27.30;59.95;91.78;40.05;91.78
27.40;63.95;91.77;36.05;91.77
27.50;67.75;92.27;32.25;92.27
27.60;71.55;88.70;28.45;88.70
27.70;75.35;89.33;24.65;89.33
27.80;79.15;86.39;20.85;86.39
27.90;82.95;87.54;17.05;87.54
28.00;79.20;85.56;20.80;85.56
28.10;75.45;82.47;24.55;82.47
28.20;71.70;82.96;28.30;82.96
28.30;67.95;81.97;32.05;81.97
28.40;71.15;81.68;28.85;81.68
28.50;74.35;87.17;25.65;87.17
28.60;77.55;84.58;22.45;84.58
28.70;80.75;83.03;19.25;83.03
28.80;83.95;83.23;16.05;83.23
28.90;79.75;82.28;20.25;82.28
29.00;75.55;84.56;24.45;84.56
29.10;71.35;83.95;28.65;83.95
29.20;67.15;83.92;32.85;83.92
29.30;62.95;84.33;37.05;84.33
29.40;66.55;83.86;33.45;83.86
29.50;70.15;83.47;29.85;83.47
29.60;73.75;85.89;26.25;85.89
29.70;77.35;83.97;22.65;83.97
29.80;80.95;83.76;19.05;83.76
29.90;77.15;84.79;22.85;84.79
30.00;73.35;81.71;26.65;81.71
30.10;69.55;81.78;30.45;81.78
30.20;65.75;81.72;34.25;81.72
30.30;61.95;81.14;38.05;81.14
30.40;66.35;84.47;33.65;84.47
30.50;70.75;82.68;29.25;82.68
30.60;75.15;82.17;24.85;82.17
30.70;79.55;80.49;20.45;80.49
30.80;83.95;77.88;16.05;77.88
30.90;80.95;81.81;19.05;81.81
31.00;77.95;81.09;22.05;81.09
31.10;74.95;81.29;25.05;81.29
31.20;71.95;81.76;28.05;81.76
31.30;68.95;82.44;31.05;82.44
31.40;65.15;82.23;34.85;82.23
31.50;61.35;79.02;38.65;79.02
31.60;57.55;80.12;42.45;80.12
31.70;53.75;78.35;46.25;78.35
31.80;49.95;78.62;50.05;78.62
31.90;45.55;80.22;54.45;80.22
32.00;41.15;74.31;58.85;74.31
32.10;36.75;75.10;63.25;75.10
32.20;32.35;75.23;67.65;75.23
32.30;27.95;74.52;72.05;74.52
32.40;32.75;80.35;67.25;80.35
